	sample_id	prompt_source	position_source	prompt_target	position_target	baseline_hop2	baseline_hop3	baseline_multihop3	hop1	hop2	hop3	generations_baseline_hop2	is_correct_baseline_hop2	generations_baseline_hop3	is_correct_baseline_hop3	generations_baseline_multihop3	is_correct_baseline_multihop3
0	0	WinDbg was created by	-1	Who is the current CEO of {}	-1	WinDbg was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created WinDbg	WinDbg	Microsoft	Satya Nadella	 the  author  of  Win D bg ,  and  is  licensed  under  the  GNU  General  Public  License . <|endoftext|> <|endoftext|> <|endoftext|>	False	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 I 'm  not  sure ,  but  I  think  it 's  a  good  question .  I  think  it"	False
1	1	.NET Framework was created by	-1	Who is the current CEO of {}	-1	.NET Framework was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created .NET Framework	.NET Framework	Microsoft	Satya Nadella	 Microsoft  Corporation .  It  is  a  cross - platform ,  open  source , . NET  framework  that  enables  developers  to	True	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  current  CEO  of  Microsoft  is  Steve  Ball mer . 
 
 The  current  CEO  of  Microsoft"	False
2	2	Internet Explorer was created by	-1	Who is the current CEO of {}	-1	Internet Explorer was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Internet Explorer	Internet Explorer	Microsoft	Satya Nadella	 Microsoft  in  1995 .  It  is  the  most  popular  web  browser  in  the  world .  It  is  also  the  most	True	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  answer  is : 
 
 Microsoft  Corporation 
 
 Microsoft  Corporation  is  the  company  that  created"	False
3	3	MS-DOS was created by	-1	Who is the current CEO of {}	-1	MS-DOS was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created MS-DOS	MS-DOS	Microsoft	Satya Nadella	 Microsoft  in  1985 .  It  was  the  first  operating  system  to  be  designed  for  the  PC .  MS - DOS	True	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  current  CEO  of  the  company  that  created  MS - DOS  is  Bill  Gates . 
 
"	False
4	4	Office Open XML was created by	-1	Who is the current CEO of {}	-1	Office Open XML was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Office Open XML	Office Open XML	Microsoft	Satya Nadella	 the  Office  team  to  help  you  manage  your  Office  365  organization .  It 's  a  simple  way  to  manage  your	False	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  current  CEO  of  the  company  that  created  Office  Open  XML  is  a  man  named  David  He"	False
5	5	TypeScript was created by	-1	Who is the current CEO of {}	-1	TypeScript was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created TypeScript	TypeScript	Microsoft	Satya Nadella	 @ j eff h ay es  and  @ j eff h ay es .  It  is  licensed  under  the  MIT	False	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  current  CEO  of  the  company  that  created  Type Script  is  Chris  L att ner . 
"	False
6	6	Bing Maps Platform was created by	-1	Who is the current CEO of {}	-1	Bing Maps Platform was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Bing Maps Platform	Bing Maps Platform	Microsoft	Satya Nadella	 Bing  Maps ,  Inc .  and  is  used  by  millions  of  people  around  the  world .  It  is  the  most	False	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  current  CEO  of  Bing  Maps  Platform  is  a  man  named  David  Drum mond .  Drum mond"	False
7	7	Outlook Express was created by	-1	Who is the current CEO of {}	-1	Outlook Express was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Outlook Express	Outlook Express	Microsoft	Satya Nadella	 the  same  people  who  created  the  original  Outlook  Express .  It 's  a  great  way  to  get  your  email  on	False	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 I 'm  not  sure ,  but  I 'm  pretty  sure  it 's  not  me . 
 
"	False
8	8	PowerShell was created by	-1	Who is the current CEO of {}	-1	PowerShell was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created PowerShell	PowerShell	Microsoft	Satya Nadella	 Microsoft  Corporation .  It  is  a  scripting  language  that  is  used  to  create  Windows  applications .  It  is  also  used	True	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 I 'm  not  sure ,  but  I 'm  pretty  sure  it 's  not  me . 
 
"	False
9	9	Windows 95 was created by	-1	Who is the current CEO of {}	-1	Windows 95 was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Windows 95	Windows 95	Microsoft	Satya Nadella	 Microsoft  and  is  the  first  version  of  Windows  to  be  released .  It  was  released  on  October  26 ,  1995	True	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  answer  is : 
 
 The  current  CEO  of  Microsoft  is  Steve  Ball mer . 
"	False
10	10	Xbox 360 was created by	-1	Who is the current CEO of {}	-1	Xbox 360 was created by	Who is the current CEO of Microsoft	Who is the current CEO of the company that created Xbox 360	Xbox 360	Microsoft	Satya Nadella	 Microsoft  and  is  a  trademark  of  Microsoft  Corporation .  All  other  trademarks  are  the  property  of  their  respective  owners .	True	"? 
 
 The  current  CEO  of  Microsoft  is  Sat ya  N ade lla .  He  was  appointed  as  the"	True	"? 
 
 The  current  CEO  of  Microsoft  is  Steve  Ball mer . 
 
 What  is  the  current  CEO"	False
